paper,title,preference,abstract,topics
1,Revenue Non-monotonicity in Matching Markets,0,"The Vickrey-Clarke-Groves (VCG) mechanism is infamously revenue non-monotone in combinatorial
auctions. I.e., when a buyer increases their value for a bundle of items, the total auction
revenue may decrease. Combinatorial auctions exhibit complementarities which broadly result in
complexities in auction theory. This brief note shows that non-monotonicity in multi-item
auctions is not a result of complementarities, and in fact, VCG is revenue non-monotone even in
matching markets.",Theoretical economics
2,ComplLLM: Fine-tuning LLMs to Discover Complementary Signals for Decision-making,0,"Multi-agent decision pipelines can outperform single agent workflows when complementarity holds,
i.e., different agents bring unique information to the table to inform a final decision. We
propose ComplLLM, a post-training framework based on decision theory that fine-tunes a
decision-assistant LLM using complementary information as reward to output signals that
complement existing agent decisions. We validate ComplLLM on synthetic and real-world tasks
involving domain experts, demonstrating how the approach recovers known complementary
information and produces plausible explanations of complementary signals to support downstream
decision-makers.",Artificial intelligence; Human-computer interaction
3,Clarification of `Algorithmic Collusion without Threats',0,"This brief note clarifies that the scenario described in Arunachaleswaran et al. (2025) --
titled `Algorithmic Collusion without Threats' -- is not one of collusion, but one where one
player is behaving non-competitively and the other is behaving competitively.",Theoretical economics
4,The Economics of No-regret Learning Algorithms,0,"A fundamental challenge for modern economics is to understand what happens when actors in an
economy are replaced with algorithms. Like rationality has enabled understanding of outcomes of
classical economic actors, no-regret can enable the understanding of outcomes of algorithmic
actors. This review article covers the classical computer science literature on no-regret
algorithms to provide a foundation for an overview of the latest economics research on no-regret
algorithms, focusing on the emerging topics of manipulation, statistical inference, and
algorithmic collusion.",Theoretical economics
5,Scale-robust Auctions,0,"We study auctions that are robust at any scale, i.e., they can be applied to sell both expensive
and cheap items and achieve the best multiplicative approximations of the optimal revenue in the
worst case. We show that the optimal mechanism is scale invariant, which randomizes between
selling at the second-price and a 2.45 multiple of the second-price.",Theoretical economics
6,Truthful Calibration Errors for Multi-Class Prediction,0,"Calibrated predictions are useful because their numerical values can be interpreted as
probabilities. Calibration errors are therefore widely used to evaluate, compare, and tune
probabilistic predictors. Recently, Haghtalab et al. (2024) introduced an additional requirement
for such measures: truthfulness. A calibration measure is truthful if a predictor minimizes its
expected measured error by reporting the true conditional label distribution. Many standard
empirical calibration errors are non-truthful: a predictor may appear better calibrated by
distorting its probabilities rather than reporting them truthfully. We study the practical role
of truthfulness for calibration measurement in multiclass prediction. First, we introduce
perfectly truthful calibration errors for multidimensional linear properties of the label
distribution, generalizing the truthful calibration error for binary predictions in Hartline et
al. (2025). This framework includes full multiclass calibration and classwise calibration. We
also identify a truthful correction for confidence calibration. Second, we characterize the
decision-theoretic implications of these truthful errors. For calibrated predictors, truthful
calibration errors preserve the Blackwell dominance: a more informative calibrated predictor
receives no larger expected error. Third, we show that this decision-theoretic interpretation
explains and mitigates the well-observed ranking robustness problem of binned calibration
errors. Empirically, non-truthful confidence-based errors can reverse model rankings when the
number of bins changes, while our truthful errors give more stable rankings across binning
choices.",Machine learning; Data structures and algorithms; Statistical machine learning
7,A Perfectly Truthful Calibration Measure,0,"Calibration requires that predictions are conditionally unbiased and, therefore, reliably
interpretable as probabilities. A calibration measure quantifies how far a predictor is from
perfect calibration. As introduced by Haghtalab et al. (2024), a calibration measure is truthful
if it is minimized in expectation when a predictor outputs the ground-truth probabilities.
Predicting the true probabilities guarantees perfect calibration, but in reality, when
calibration is evaluated on a random sample, all known calibration measures incentivize
predictors to lie in order to appear more calibrated. Such lack of truthfulness motivated
Haghtalab et al. (2024) and Qiao and Zhao (2025) to construct approximately truthful calibration
measures in the sequential prediction setting, but no perfectly truthful calibration measure was
known to exist even in the more basic batch setting. We design a simple, perfectly and strictly
truthful, sound and complete calibration measure in the batch setting: averaged two-bin
calibration error (ATB). ATB is quadratically related to two existing calibration measures: the
smooth calibration error smCal and the lower distance to calibration distCal. The simplicity in
our definition of ATB makes it efficient and straightforward to compute, allowing us to give the
first linear-time calibration testing algorithm, improving a result of Hu et al. (2024). We also
introduce a general recipe for constructing truthful measures based on the variance additivity
of independent random variables, which proves the truthfulness of ATB as a special case and
allows us to construct other truthful calibration measures such as quantile-binned l_2-ECE.",Machine learning; Data structures and algorithms; Statistical machine learning
8,A Geometric Analysis of Gains from Trade,0,"We provide a geometric proof that the random proposer mechanism is a $4$-approximation to the
first-best gains from trade in bilateral exchange. We then refine this geometric analysis to
recover the state-of-the-art approximation ratio of $3.15$.",Theoretical economics
9,Behavioral Study of Dashboard Mechanisms,0,"Visualization dashboards are increasingly used in strategic settings like auctions to enhance
decision-making and reduce strategic confusion. This paper presents behavioral experiments
evaluating how different dashboard designs affect bid optimization in reverse first-price
auctions. Additionally, we assess how dashboard designs impact the auction designer's ability to
accurately infer bidders' preferences within the dashboard mechanism framework. We compare
visualizations of the bid allocation rule, commonly deployed in practice, to alternatives that
display expected utility. We find that utility-based visualizations significantly improve
bidding by reducing cognitive demands on bidders. However, even with improved dashboards,
bidders systematically under-shade their bids, driven by an implicit preference for certain wins
in uncertain settings. As a result, dashboard-based mechanisms that assume fully rational or
risk-neutral bidder responses to dashboards can produce significant estimation errors when
inferring private preferences, which may lead to suboptimal allocations in practice. Explicitly
modeling agents' behavioral responses to dashboards substantially improves inference accuracy,
highlighting the need to align visualization design and econometric inference assumptions in
practice.",
10,Aligned Textual Scoring Rules,0,"Scoring rules elicit probabilistic predictions from a strategic agent by scoring the prediction
against a ground truth state. A scoring rule is proper if, from the agent's perspective,
reporting the true belief maximizes the expected score. With the development of language models,
Wu and Hartline (2024) proposes a reduction from textual information elicitation to the
numerical (i.e. probabilistic) information elicitation problem, which achieves provable
properness for textual elicitation. However, not all proper scoring rules are well aligned with
human preference over text. Our paper designs the Aligned Scoring rule (ASR) for text by
optimizing and minimizing the mean squared error between a proper scoring rule and a reference
score (e.g. human score). Our experiments show that our ASR outperforms previous methods in
aligning with human preference while maintaining properness.",Artificial intelligence
